PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
100000,3,"Holliday, Daniel",male,19.0,0,0,24745,63.01,,S,0
100002,1,"Harris, Heather",female,19.0,0,0,25990,38.91,B15315,C,1
100003,2,"Larsen, Eric",male,25.0,0,0,314011,12.93,,S,0
100007,3,"Payton, Brian",male,13.0,0,0,42031,9.41,,S,0
100009,3,"Mickle, Johnny",male,20.0,0,0,39023,6.17,,S,0
100011,3,"Brown, Dustin",male,19.0,0,0,44324,9.09,,S,0
100012,1,"Dejesus, Chong",male,40.0,2,0,15130,5.64,A19769,S,0
100013,3,"Clark, Seymour",male,23.0,1,0,A. 10013,5.62,,S,0
100015,3,"Rogers, John",male,36.0,0,0,26080,12.16,,S,0
100017,3,"Desalvo, Morris",male,26.0,1,0,,11.26,,S,0
100018,3,"Yeung, Charles",male,45.0,0,0,453505,8.72,,S,0
100020,3,"Mullens, Larry",male,39.0,0,0,3833796,8.6,,S,0
100021,3,"Brown, Nathaniel",male,23.0,2,2,19217,64.9,,S,0
100022,3,"Hamernik, Tony",male,58.0,0,0,C.A. 297206,6.38,A19960,S,0
100024,3,"Gallivan, Norman",male,26.0,0,0,489950,5.79,,S,0
100029,2,"Gibson, Dawna",female,24.0,0,0,37030,11.44,F15233,S,1
100030,2,"Eck, Robert",male,63.0,1,0,199965,21.49,,S,0
100033,3,"Jones, Adam",male,22.0,1,0,333582,8.84,,S,0
100035,3,"Erway, Howard",male,21.0,0,0,186532,12.22,,S,0
100037,1,"Heim, Bernard",male,53.0,0,0,SC/AH 340970,23.47,A16458,S,0
100039,3,"Madison, Michael",male,19.0,4,0,A. 335801,6.8,,S,0
100042,3,"Catron, Randy",male,38.0,0,0,46049,12.82,,S,0
100045,1,"Caldwell, Eugene",male,56.0,0,0,SC/PARIS 461651,67.47,A21432,S,0
100049,1,"Curtis, Mae",female,22.0,1,1,PC 38010,223.69,C18317,C,1
100050,3,"Karpinen, Stephen",male,19.0,0,0,27132,10.07,,S,0
100052,3,"Burchfield, Victor",male,25.0,0,0,207230,16.9,,S,0
100053,3,"Neves, Sean",male,22.0,0,0,C.A. 464095,26.65,,S,0
100054,3,"Hersey, Carlos",male,21.0,0,0,10038,9.42,,S,0
100059,3,"Jones, Robert",male,26.0,0,0,27023,72.78,D18937,S,0
100060,3,"Snyder, John",male,33.0,0,0,43612,8.85,,S,0
100061,1,"Spurling, Francisco",male,46.0,1,0,315545,53.59,A13158,S,0
100062,3,"Josefy, Frank",male,18.0,0,0,441784,10.37,,S,0
100064,3,"Hamlin, David",male,22.0,1,0,7665,6.77,,S,0
100065,3,"Dunlap, John",male,19.0,0,0,10095,15.52,,,0
100067,3,"Thompson, Robert",male,19.0,1,0,43244,12.79,,S,0
100069,1,"Rodriguez, Armando",male,29.0,0,0,18914,138.73,A14817,S,0
100070,1,"Sykes, Janice",female,30.0,0,0,SC/AH 39936,27.12,A12778,C,1
100071,2,"Michalski, Phillip",male,30.0,0,0,436124,14.05,,S,0
100073,3,"Sampson, Jonathan",male,21.0,0,0,C.A. 8287,13.63,,S,0
100074,3,"Lindsey, Robert",male,48.0,0,0,C.A. 430942,10.47,,S,0
100075,3,"Harvey, David",male,21.0,0,1,A. 490424,11.31,,S,0
100078,3,"Tucker, Joe",male,23.0,0,2,12196,86.34,,S,0
100080,3,"Gonzalez, Frederick",male,30.0,0,0,25821,11.68,,S,0
100082,3,"Curry, Bradley",male,24.0,1,0,SC/A4 438805,16.95,,S,0
100084,3,"Mclawhorn, Lawrence",male,54.0,0,0,26230,10.77,,S,0
100087,3,"Noga, Bobby",male,32.0,0,0,495886,13.0,,S,0
100090,1,"Escobar, Dylan",male,42.0,0,0,A/5. 438676,86.19,,S,0
100091,3,"Peterson, Wayne",male,32.0,1,0,,13.25,,C,0
100093,2,"Williams, Lacey",female,22.0,0,0,10890,6.83,,C,1
100094,2,"Stover, Annette",female,32.0,2,0,12921,9.94,A22497,C,1
100095,3,"Guzma, Donald",male,4.0,1,0,330568,8.48,,S,0
100098,3,"Tobe, Enrique",male,34.0,0,0,25264,11.64,A10911,S,0
100102,3,"Mcdaniel, Philip",male,22.0,1,2,297918,5.23,,S,0
100104,3,"Bragg, Frank",male,39.0,0,0,,14.53,,S,0
100105,3,"Nelson, Rodney",male,31.5,0,0,F.C.C. 3867487,9.08,,S,0
100107,3,"Rayome, Justin",male,48.0,0,0,197193,28.09,,Q,0
100108,3,"Upshaw, Steven",male,25.0,0,0,25683,11.42,,S,0
100110,2,"Baker, Matthew",male,29.0,1,0,20701,10.64,,S,0
100113,3,"Hairston, William",male,28.0,1,0,28204,12.38,,S,0
100114,3,"Hill, Monroe",male,17.0,0,0,449354,11.96,,S,0
100116,3,"Ashmore, Keith",male,24.0,0,0,A/4 12235,28.65,,S,0
100118,2,"Jones, Wayne",male,56.0,1,2,304783,77.1,C17237,S,0
